status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,mid_fov,mid_disparity,335,2.8549019274050362,2.8546624947673975,0.001689209472491888,0.2985690248639641,0.3207164531018325
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,mid_fov,near_disparity,429,2.746181854097564,2.7488145183554766,0.0019081960561019636,0.30376017873070715,0.3242090602254267
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,near_edge,far_disparity,339,3.1110883660218445,3.228637976527961,0.0016087466473530612,0.3326692059939509,0.3886455862110236
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,near_edge,mid_disparity,353,2.8768252287131646,2.8758118886964037,0.0011505979520754334,0.3177059632922923,0.3414748206083071
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.003,near_edge,near_disparity,268,2.7705882231795753,2.7697048956778425,0.0036744638273967928,0.32088759330358707,0.43515999959569146
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,central,far_disparity,39,3.0115539750747176,3.0511077656330476,0.0022579931117999975,0.2859804065752247,0.28972471227890584
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,central,mid_disparity,104,2.846097045479354,2.846352717478976,0.0016841122828918959,0.2865511489937922,0.2911147498890952
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,central,near_disparity,96,2.7332411667258945,2.741575290615098,0.0017216808499455104,0.289545405823611,0.2953100728204486
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,mid_fov,far_disparity,415,3.032443374739384,3.112353628180396,0.0014776571908661177,0.29880389184910405,0.31977177787923394
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,mid_fov,mid_disparity,335,2.855075291379154,2.8548339763399335,0.0016892518551814618,0.2986473273844825,0.3207980927674017
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,mid_fov,near_disparity,429,2.7463612646389937,2.748987294303425,0.001908248173211138,0.30383838224230497,0.32429703093388934
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,near_edge,far_disparity,339,3.111277506002087,3.228819023817579,0.0016091522224379604,0.3327509095066761,0.3887267115346924
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,near_edge,mid_disparity,353,2.87699907752073,2.87598917214429,0.0011502772004266149,0.3177870163185148,0.34155904217403193
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.005,near_edge,near_disparity,268,2.7707638590377694,2.7698849723374708,0.003674616488241523,0.32096775375666386,0.435267220768967
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.008,central,far_disparity,39,3.011799562377295,3.051353859227495,0.0022579899788849277,0.2860853242694583,0.2898348816954847
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.008,central,mid_disparity,104,2.8463472903143874,2.84660127768528,0.0016841228563752749,0.2866639071721123,0.2912298380782427
